City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Rudbar,AF,30.15,62.6,86.65,15,4,21.47,clear sky
147,Cam Ranh,VN,11.9214,109.1591,93.16,49,20,9.22,few clouds
148,Kokopo,PG,-4.352,152.2633,83.7,69,97,7.87,light rain
149,Porangatu,BR,-13.4408,-49.1486,71.74,39,16,3.49,few clouds
150,Luganville,VU,-15.5333,167.1667,78.73,61,14,11.23,few clouds
151,Coxim,BR,-18.5067,-54.76,57.79,18,10,7.0,clear sky
152,Castro,BR,-24.7911,-50.0119,34.92,94,98,4.63,overcast clouds
153,Georgetown,MY,5.4112,100.3354,88.9,66,20,5.99,few clouds
154,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,8,5.01,clear sky
155,Lagoa,PT,39.05,-27.9833,69.66,86,66,6.96,broken clouds
156,Caucaia,BR,-3.7361,-38.6531,83.07,74,40,16.11,scattered clouds
157,Yellowknife,CA,62.456,-114.3525,73.92,49,20,6.91,few clouds
158,Leningradskiy,RU,69.3833,178.4167,33.26,91,98,15.59,overcast clouds
159,Kolondieba,ML,11.0882,-6.8926,71.19,96,30,4.97,scattered clouds
160,Thompson,CA,55.7435,-97.8558,62.76,59,20,8.05,smoke
161,Galle,LK,6.0367,80.217,82.35,77,53,14.25,broken clouds
162,Jinchang,CN,38.4953,102.1739,90.57,13,0,9.28,clear sky
163,Tubuala,PA,9.5167,-79.0333,79.34,82,97,3.51,overcast clouds
164,Karwar,IN,14.8,74.1333,79.72,84,96,14.83,overcast clouds
165,Peniche,PT,39.3558,-9.3811,63.88,82,66,20.58,broken clouds
166,Marsa Matruh,EG,31.3525,27.2453,75.4,88,0,10.36,clear sky
167,Shache,CN,38.4167,77.2406,91.49,16,26,9.22,scattered clouds
168,Ilulissat,GL,69.2167,-51.1,42.78,71,100,5.46,overcast clouds
169,Lichuan,CN,30.3,108.85,87.76,41,39,3.11,scattered clouds
170,Barra Dos Coqueiros,BR,-10.9089,-37.0386,77.02,78,90,9.22,overcast clouds
171,Vestmanna,FO,62.1564,-7.1664,45.52,93,90,10.36,overcast clouds
